1,A group of kids is playing in a yard and an old man is standing in the background,A group of boys in a yard is playing and a man is standing in the background,NEUTRAL,4.5,A_neutral_B,B_neutral_A,A group of children playing in a yard a man in the background.,A group of children playing in a yard a man in the background.,FLICKR,FLICKR,TRAIN,A:kids,A:old,B:boys,
4522,A man is playing a flute,There is no man playing a guitar,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is playing a flute,a man is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:flute,B:There,B:no,B:guitar,
4524,A man is playing a guitar,There is no man playing a flute,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is playing a guitar,a man is playing a flute,SEMEVAL,SEMEVAL,TRAIN,A:guitar,B:There,B:no,B:flute,
4530,A man is riding an animal,A man is driving a car,NEUTRAL,1.3,A_neutral_B,B_neutral_A,a man is driving a car,a man is riding a horse,SEMEVAL,SEMEVAL,TEST,A:riding,A:animal,B:driving,B:car,
4532,A man is riding a horse,A man is driving a vehicle,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is riding a horse,a man is driving a car,SEMEVAL,SEMEVAL,TEST,A:riding,A:horse,B:driving,B:vehicle,
4534,A man is driving a car,A man is riding a horse,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a man is driving a car,a man is riding a horse,SEMEVAL,SEMEVAL,TRAIN,A:driving,A:car,B:riding,B:horse,
4549,A man is riding a horse,There is no woman riding a horse,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a woman is riding a horse,a man rides a horse,SEMEVAL,SEMEVAL,TRAIN,A:man,B:There,B:no,B:woman,
4639,There is no man playing a keyboard,A man is playing a harp,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is playing a harp,a man is playing a keyboard,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:keyboard,B:harp,
4641,A man is playing a keyboard,There is no man playing a harp,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a man is playing a keyboard,a man is playing a harp,SEMEVAL,SEMEVAL,TEST,A:keyboard,B:There,B:no,B:harp,
4646,A man is tying a thick rope,A man is cutting a thick rope with a sword,NEUTRAL,2.92,A_neutral_B,B_neutral_A,the man sliced through a thick rope with a sword,the man sliced through a thick rope with a sword,SEMEVAL,SEMEVAL,TRAIN,A:tying,B:cutting,B:with,B:sword,
4685,A woman is cutting garlic,A woman is slicing an onion,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a woman is slicing an onion,a woman is slicing garlics,SEMEVAL,SEMEVAL,TRAIN,A:cutting,A:garlic,B:slicing,B:onion,
4686,A woman is not slicing garlic,A woman is slicing an onion,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman is slicing an onion,a woman is slicing garlics,SEMEVAL,SEMEVAL,TRAIN,A:not,A:garlic,B:onion,
4687,A woman is slicing garlic,A woman is cutting an onion,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is slicing garlics,a woman is slicing an onion,SEMEVAL,SEMEVAL,TRAIN,A:slicing,A:garlic,B:cutting,B:onion,
4688,A woman is slicing garlic,A woman is not slicing an onion,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a woman is slicing garlics,a woman is slicing an onion,SEMEVAL,SEMEVAL,TRAIN,A:garlic,B:not,B:onion,
4693,A man is hiding a small monkey,A man is showing off a small monkey,NEUTRAL,3.465,A_neutral_B,B_neutral_A,a man shows off a small monkey,a man shows off a small monkey,SEMEVAL,SEMEVAL,TEST,A:hiding,B:showing,B:off,
4705,A group of men is playing soccer on the beach,A group of boys is playing soccer on the seashore,NEUTRAL,4,A_neutral_B,B_neutral_A,a group of men play soccer on the beach,a group of boys are playing soccer on the beach,SEMEVAL,SEMEVAL,TEST,A:men,A:beach,B:boys,B:seashore,
4706,A group of men is playing soccer on the beach,A group of boys is not playing soccer on the beach,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a group of men play soccer on the beach,a group of boys are playing soccer on the beach,SEMEVAL,SEMEVAL,TEST,A:men,B:boys,B:not,
4741,A person is performing tricks on a motorcycle,The performer is tricking a person on a motorcycle,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a person is performing tricks on a motorcycle,a person is performing tricks on a motorcycle,SEMEVAL,SEMEVAL,TEST,A:performing,A:tricks,B:performer,B:tricking,
4780,A boy is playing guitar,A little girl is playing a guitar,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a boy is playing guitar,a little boy is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:boy,B:little,B:girl,
4799,A boy is playing an instrument,A kid is playing guitar,NEUTRAL,4,A_neutral_B,B_neutral_A,a kid is playing guitar,a boy is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:boy,A:instrument,B:kid,B:guitar,
4800,A boy is not playing a guitar,A kid is playing guitar,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a kid is playing guitar,a boy is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:boy,A:not,B:kid,
4807,A monkey is pulling a dog's tail,A dog is pulling a monkey's tail,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a monkey pulls the tail of a dog,a monkey pulls the tail of a dog,SEMEVAL,SEMEVAL,TRAIN,A:monkey,A:dog's,B:dog,B:monkey's,
4821,A person is slicing an onion,A person is slicing some ginger,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a person is slicing an onion,a person cuts ginger,SEMEVAL,SEMEVAL,TRAIN,A:onion,B:some,B:ginger,
4836,A girl is styling her hair,A girl is messing up her hair,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a girl is styling her hair,a girl is styling her hair,SEMEVAL,SEMEVAL,TRAIN,A:styling,B:messing,B:up,
4837,A girl is filing her nails,A girl is combing her hair,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a girl is filing her nails,a girl is styling her hair,SEMEVAL,SEMEVAL,TEST,A:filing,A:nails,B:combing,B:hair,
4841,A girl is filing her nails,A girl is styling her hair,NEUTRAL,2.235,A_neutral_B,B_neutral_A,a girl is filing her nails,a girl is styling her hair,SEMEVAL,SEMEVAL,TEST,A:filing,A:nails,B:styling,B:hair,
4864,A person is exercising,A man is dancing,NEUTRAL,3.385,A_neutral_B,B_neutral_A,a man is dancing,a woman is exercising,SEMEVAL,SEMEVAL,TEST,A:person,A:exercising,B:man,B:dancing,
4866,A person is dancing,A woman is exercising,NEUTRAL,3,A_neutral_B,B_neutral_A,a woman is exercising,a man is dancing,SEMEVAL,SEMEVAL,TRIAL,A:person,A:dancing,B:woman,B:exercising,
4868,A woman is exercising,A man is dancing,NEUTRAL,1.3,A_neutral_B,B_neutral_A,a man is dancing,a woman is exercising,SEMEVAL,SEMEVAL,TEST,A:woman,A:exercising,B:man,B:dancing,
4877,A woman is cutting potatoes,A woman is slicing carrots,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is cutting potatoes,a woman is slicing carrots,SEMEVAL,SEMEVAL,TRAIN,A:cutting,A:potatoes,B:slicing,B:carrots,
4891,A man is doing pull-ups,The man is doing exercises in a gym,NEUTRAL,4,A_neutral_B,B_neutral_A,a man is doing pull-ups,the man is exercising,SEMEVAL,SEMEVAL,TRIAL,A:pull-ups,B:exercises,B:in,B:gym,
4900,A man is sharpening a weapon,A man is carrying a woman,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a man carries a women,a man shappens a knife,SEMEVAL,SEMEVAL,TRAIN,A:sharpening,A:weapon,B:carrying,B:woman,
4904,A man is sharpening a knife,A man is carrying a woman,NEUTRAL,1.2,A_neutral_B,B_neutral_A,a man carries a women,a man shappens a knife,SEMEVAL,SEMEVAL,TEST,A:sharpening,A:knife,B:carrying,B:woman,
4934,Recruits are talking to an officer,An officer is talking to the recruits,NEUTRAL,3.7,A_neutral_B,B_neutral_A,an officer is talking to recruits,an officer is talking to recruits,SEMEVAL,SEMEVAL,TRIAL,A:Recruits,A:are,B:is,B:recruits,
4967,A woman is cutting a fish,A woman is chopping garlic,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a woman is chopping garlic,a woman slices a fish,SEMEVAL,SEMEVAL,TRAIN,A:cutting,A:fish,B:chopping,B:garlic,
4971,A woman is slicing a fish,A woman is chopping garlic,NEUTRAL,2.535,A_neutral_B,B_neutral_A,a woman is chopping garlic,a woman slices a fish,SEMEVAL,SEMEVAL,TRAIN,A:slicing,A:fish,B:chopping,B:garlic,
4984,A woman is falling off a horse,A woman is riding a horse,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a woman is riding a horse,a woman is riding a horse,SEMEVAL,SEMEVAL,TEST,A:falling,A:off,B:riding,
4989,A woman is riding a horse,A woman is frying something,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a woman is frying something,a woman is riding a horse,SEMEVAL,SEMEVAL,TRAIN,A:riding,A:horse,B:frying,B:something,
5014,A man is chopping an onion,A woman is slicing an onion,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is cutting an onion,a woman is slicing an onion,SEMEVAL,SEMEVAL,TRAIN,A:man,A:chopping,B:woman,B:slicing,
5016,A woman is slicing an onion,A man is cutting an onion,NEUTRAL,3.915,A_neutral_B,B_neutral_A,a man is cutting an onion,a woman is slicing an onion,SEMEVAL,SEMEVAL,TEST,A:woman,A:slicing,B:man,B:cutting,
5019,A woman is painting a man's face,A man is painting a woman's face,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a woman is painting the face of a man,a woman is painting the face of a man,SEMEVAL,SEMEVAL,TEST,A:woman,A:man's,B:man,B:woman's,
5035,The man is talking about the telephone,The man is talking on the phone,NEUTRAL,3.7,A_neutral_B,B_neutral_A,the man is talking on the phone,the man talked on the telephone,SEMEVAL,SEMEVAL,TEST,A:about,A:telephone,B:on,B:phone,
5047,A man is cutting onions,A woman is cutting an onion,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is cutting onions,a woman is cutting an onion,SEMEVAL,SEMEVAL,TRIAL,A:man,A:onions,B:woman,B:onion,
5056,A man is opening a door,A man is cutting an onion,NEUTRAL,1,A_neutral_B,B_neutral_A,a man is cutting an onion,a man is opening a door,SEMEVAL,SEMEVAL,TRAIN,A:opening,A:door,B:cutting,B:onion,
5083,A man is playing the piano,A woman is playing the violin,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a man is playing the piano,a woman is playing the violin,SEMEVAL,SEMEVAL,TRAIN,A:man,A:piano,B:woman,B:violin,
5087,A man is singing and standing on the sidewalk,A man is singing and walking down the sidewalk,NEUTRAL,4.1,A_neutral_B,B_neutral_A,a man is singing while walking down the sidewalk,a man is singing while walking down the sidewalk,SEMEVAL,SEMEVAL,TEST,A:standing,A:on,B:walking,B:down,
5128,A person is slicing a potato,A person is playing a piano,NEUTRAL,1.4,A_neutral_B,B_neutral_A,a person is playing a piano,a person is slicing a potato,SEMEVAL,SEMEVAL,TEST,A:slicing,A:potato,B:playing,B:piano,
5131,A man is putting seasoning on a pizza,A man is putting some cheese on a pizza,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a man puts some cheese on a pizza,a man puts some cheese on a pizza,SEMEVAL,SEMEVAL,TEST,A:seasoning,B:some,B:cheese,
5171,The man is playing the drums,A man is cleaning the sink,NEUTRAL,1.3,A_neutral_B,B_neutral_A,the man is playing the drums,a man pours cleaner in his sink,SEMEVAL,SEMEVAL,TRAIN,A:playing,A:drums,B:cleaning,B:sink,
5197,A baby is talking,The child is silent,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a baby is talking,a boy is trying to say firetruck,SEMEVAL,SEMEVAL,TRAIN,A:baby,A:talking,B:child,B:silent,
5227,A dog is looking at a store counter,A dog is looking around,NEUTRAL,3.9,A_neutral_B,B_neutral_A,a dog is looking around,a dog is watching a store counter,SEMEVAL,SEMEVAL,TRAIN,A:at,A:store,A:counter,B:around,
5234,A tiger cub is roaring,A tiger is walking around,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a tiger is walking around,a tiger cub is making a sound,SEMEVAL,SEMEVAL,TRAIN,A:cub,A:roaring,B:walking,B:around,
5262,There is no man riding a horse,The person is riding the horse,NEUTRAL,3.5,A_neutral_B,B_neutral_A,the person is riding the horse,a man is riding a horse,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:man,B:person,
5264,A person is folding a sheet,A person is folding a piece of paper,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a person is folding a piece of paper,a person is folding a piece of paper,SEMEVAL,SEMEVAL,TRAIN,A:sheet,B:piece,B:of,B:paper,
5367,A man is playing a flute,A man is riding a motorbike,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a man is playing a flute,a man is riding a scooter,SEMEVAL,SEMEVAL,TEST,A:playing,A:flute,B:riding,B:motorbike,
5371,A man is playing a flute,A man is riding a scooter,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a man is playing a flute,a man is riding a scooter,SEMEVAL,SEMEVAL,TEST,A:playing,A:flute,B:riding,B:scooter,
5386,There is no man playing the guitar,A man is playing the drums,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is playing the drums,a man is playing the guitar,SEMEVAL,SEMEVAL,TEST,A:There,A:no,A:guitar,B:drums,
5388,A man is not playing the drums,A man is playing the guitar,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a man is playing the guitar,a man is playing the drums,SEMEVAL,SEMEVAL,TEST,A:not,A:drums,B:guitar,
5442,Two pandas are lying together,Two baby pandas are sleeping,NEUTRAL,3.8,A_neutral_B,B_neutral_A,two pandas are laying together,two baby pandas are playing,SEMEVAL,SEMEVAL,TEST,A:lying,A:together,B:baby,B:sleeping,
5443,Two pandas are lying together,Two baby pandas are playing,NEUTRAL,3.2,A_neutral_B,B_neutral_A,two baby pandas are playing,two pandas are laying together,SEMEVAL,SEMEVAL,TRAIN,A:lying,A:together,B:baby,B:playing,
5449,A woman is cooking fish,A woman is not frying fish,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a woman is cooking fish,a woman is frying fish,SEMEVAL,SEMEVAL,TRAIN,A:cooking,B:not,B:frying,
5459,A man is playing an instrument,A woman is playing the flute,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a woman is playing the flute,a man is playing a flute,SEMEVAL,SEMEVAL,TRAIN,A:man,A:instrument,B:woman,B:flute,
5460,A woman is playing the flute,A man is not playing a flute,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a woman is playing the flute,a man is playing a flute,SEMEVAL,SEMEVAL,TRAIN,A:woman,B:man,B:not,
5468,A boy is mowing the lawn,A man is mowing grass,NEUTRAL,3.8,A_neutral_B,B_neutral_A,a man is mowing grass,a guy is mowing the lawn,SEMEVAL,SEMEVAL,TRAIN,A:boy,A:lawn,B:man,B:grass,
5488,The man is cracking eggs into a bowl,The lady is cracking an egg into a bowl,NEUTRAL,3.2,A_neutral_B,B_neutral_A,the lady cracked an egg into a bowl,the man is cracking eggs into a bowl,SEMEVAL,SEMEVAL,TEST,A:man,A:eggs,B:lady,B:egg,
5497,A woman is cutting broccoli,A man is cutting tomatoes,NEUTRAL,2.4,A_neutral_B,B_neutral_A,a man is cutting tomatoes,a woman is cutting broccoli,SEMEVAL,SEMEVAL,TRAIN,A:woman,A:broccoli,B:man,B:tomatoes,
5502,A woman is cutting a lemon,A woman is firing a weapon,NEUTRAL,1.1,A_neutral_B,B_neutral_A,a woman is cutting a lemon,a woman is firing a rifle,SEMEVAL,SEMEVAL,TRAIN,A:cutting,A:lemon,B:firing,B:weapon,
5504,A woman is firing a rifle,A woman is cutting fruit,NEUTRAL,1.5,A_neutral_B,B_neutral_A,a woman is firing a rifle,a woman is cutting a lemon,SEMEVAL,SEMEVAL,TRAIN,A:firing,A:rifle,B:cutting,B:fruit,
5506,A woman is cutting a lemon,A woman is firing a rifle,NEUTRAL,1.4,A_neutral_B,B_neutral_A,a woman is cutting a lemon,a woman is firing a rifle,SEMEVAL,SEMEVAL,TEST,A:cutting,A:lemon,B:firing,B:rifle,
5512,A man is playing guitar,A woman is playing the drums,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a man is playing guitar,a man is playing the drums,SEMEVAL,SEMEVAL,TRAIN,A:man,A:guitar,B:woman,B:drums,
5514,There is no man playing guitar,A man is playing the drums,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is playing the drums,a man is playing guitar,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:guitar,B:drums,
5522,A man is drawing on a board,A man is drawing some figures,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is drawing some figures,a man is drawing on a digital dry erase board,SEMEVAL,SEMEVAL,TRAIN,A:on,A:board,B:some,B:figures,
5529,A woman is slicing tofu,A woman is cutting onions,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a woman is cutting onions,a woman is cutting tofu,SEMEVAL,SEMEVAL,TEST,A:slicing,A:tofu,B:cutting,B:onions,
5530,A woman is cutting onions,A woman is not cutting tofu,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a woman is cutting onions,a woman is cutting tofu,SEMEVAL,SEMEVAL,TRAIN,A:onions,B:not,B:tofu,
5531,A woman is cutting tofu,A woman is chopping onions,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a woman is cutting tofu,a woman is cutting onions,SEMEVAL,SEMEVAL,TRAIN,A:cutting,A:tofu,B:chopping,B:onions,
5532,A woman is cutting tofu,There is no woman cutting onions,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a woman is cutting tofu,a woman is cutting onions,SEMEVAL,SEMEVAL,TRAIN,A:tofu,B:There,B:no,B:onions,
5538,A group of people are walking,A group of people are dancing at a concert,NEUTRAL,2.6,A_neutral_B,B_neutral_A,a group of people are dancing in concert,a group of people are marching in place,SEMEVAL,SEMEVAL,TRAIN,A:walking,B:dancing,B:at,B:concert,
5539,A group of people are dancing at a concert,A group of people are standing,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a group of people are dancing in concert,a group of people are marching in place,SEMEVAL,SEMEVAL,TEST,A:dancing,A:at,A:concert,B:standing,
5540,A group of people are dancing in a show,A group of people are marching,NEUTRAL,2.3,A_neutral_B,B_neutral_A,a group of people are marching in place,a group of people are dancing in concert,SEMEVAL,SEMEVAL,TRIAL,A:dancing,A:in,A:show,B:marching,
5542,A group of people are dancing at a concert,A group of people are marching,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a group of people are dancing in concert,a group of people are marching in place,SEMEVAL,SEMEVAL,TEST,A:dancing,A:at,A:concert,B:marching,
5583,A dog is swimming after a ball,A dog is barking at a ball,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a dog swims after a tennis ball,a dog is barking at a ball,SEMEVAL,SEMEVAL,TEST,A:swimming,A:after,B:barking,B:at,
5592,A girl is eating a cupcake,A woman is eating a cake,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a girl is eating a cupcake,a woman is eating a cupcake,SEMEVAL,SEMEVAL,TEST,A:girl,A:cupcake,B:woman,B:cake,
5593,A girl is eating a cupcake,A woman is not eating a cupcake,NEUTRAL,2.5,A_neutral_B,B_neutral_A,a girl is eating a cupcake,a woman is eating a cupcake,SEMEVAL,SEMEVAL,TRAIN,A:girl,B:woman,B:not,
5601,A man is speaking,A person is spitting,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a man is speaking,a man is spitting,SEMEVAL,SEMEVAL,TEST,A:man,A:speaking,B:person,B:spitting,
5602,There is no man spitting,A man is speaking,NEUTRAL,2.115,A_neutral_B,B_neutral_A,a man is speaking,a man is spitting,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:spitting,B:speaking,
5604,There is no man speaking,A man is spitting,NEUTRAL,2.2,A_neutral_B,B_neutral_A,a man is spitting,a man is speaking,SEMEVAL,SEMEVAL,TRAIN,A:There,A:no,A:speaking,B:spitting,
5625,A chef is cleaning a bowl of soup,A chef is getting a bowl of soup dirty,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a chef is cleaning up a bowl of soup,a chef is cleaning up a bowl of soup,SEMEVAL,SEMEVAL,TEST,A:cleaning,B:getting,B:dirty,
5628,A chef is cleaning a bowl of soup,A man is cleaning the edge of a bowl,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a chef is cleaning up a bowl of soup,a man is wiping the edge of a bowl off,SEMEVAL,SEMEVAL,TEST,A:chef,A:soup,B:man,B:edge,
5651,A person is eating in a restaurant,A person is eating at a table,NEUTRAL,4,A_neutral_B,B_neutral_A,a person is eating at a table,a person is eating at a table,SEMEVAL,SEMEVAL,TRAIN,A:in,A:restaurant,B:at,B:table,
5667,The cat is licking a bottle,A cat is playing with a big bottle,NEUTRAL,3.7,A_neutral_B,B_neutral_A,the cat is licking a bottle,a cat plays with a small bottle,SEMEVAL,SEMEVAL,TEST,A:licking,B:playing,B:with,B:big,
5668,The cat is licking a bottle,A cat is playing with a small bottle,NEUTRAL,3.6,A_neutral_B,B_neutral_A,a cat plays with a small bottle,the cat is licking a bottle,SEMEVAL,SEMEVAL,TRAIN,A:licking,B:playing,B:with,B:small,
5683,A woman is slicing butter,There is no woman slicing tofu,NEUTRAL,2.8,A_neutral_B,B_neutral_A,a woman is slicing butter,a woman slices tofu,SEMEVAL,SEMEVAL,TRAIN,A:butter,B:There,B:no,B:tofu,
5684,A woman is slicing tofu,A woman is cutting butter,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a woman slices tofu,a woman is slicing butter,SEMEVAL,SEMEVAL,TEST,A:slicing,A:tofu,B:cutting,B:butter,
5685,A woman is slicing tofu,A man is slicing butter,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a woman slices tofu,a woman is slicing butter,SEMEVAL,SEMEVAL,TEST,A:woman,A:tofu,B:man,B:butter,
5693,The man is playing with a skull,The man is playing the instrument,NEUTRAL,2.2,A_neutral_B,B_neutral_A,the man is playing with a skull,the man is playing the guitar,SEMEVAL,SEMEVAL,TRAIN,A:with,A:skull,B:instrument,
5694,The man is not playing the guitar,The man is playing with a skull,NEUTRAL,1.4,A_neutral_B,B_neutral_A,the man is playing with a skull,the man is playing the guitar,SEMEVAL,SEMEVAL,TRAIN,A:not,A:guitar,B:with,B:skull,
5695,The man is playing the guitar,The man is playing with a skull,NEUTRAL,1.9,A_neutral_B,B_neutral_A,the man is playing the guitar,the man is playing with a skull,SEMEVAL,SEMEVAL,TRAIN,A:guitar,B:with,B:skull,
5720,A man is dancing on the ceiling,A great singer is dancing on the ceiling,NEUTRAL,3.9,A_neutral_B,B_neutral_A,lionel ritchie dances while standing on the ceiling,lionel richie is dancing on the ceiling,SEMEVAL,SEMEVAL,TEST,A:man,B:great,B:singer,
5722,A famous singer is dancing on the ceiling,A man is dancing on the ceiling,NEUTRAL,4.1,A_neutral_B,B_neutral_A,lionel richie is dancing on the ceiling,lionel ritchie dances while standing on the ceiling,SEMEVAL,SEMEVAL,TRAIN,A:famous,A:singer,B:man,
5730,A cow is eating hay,A cow is not eating grass,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a cow is eating hay,a cow is eating grass,SEMEVAL,SEMEVAL,TEST,A:hay,B:not,B:grass,
5737,A man is eating,A woman is sleeping,NEUTRAL,1.1,A_neutral_B,B_neutral_A,a man is eating,a woman is dancing,SEMEVAL,SEMEVAL,TRAIN,A:man,A:eating,B:woman,B:sleeping,
5739,A woman is dancing,A man is puking,NEUTRAL,1.2,A_neutral_B,B_neutral_A,a woman is dancing,a man is eating,SEMEVAL,SEMEVAL,TRAIN,A:woman,A:dancing,B:man,B:puking,
5740,A man is eating,A woman is dancing,NEUTRAL,1.1,A_neutral_B,B_neutral_A,a man is eating,a woman is dancing,SEMEVAL,SEMEVAL,TRAIN,A:man,A:eating,B:woman,B:dancing,
5747,A baby is playing with a toy,A baby tiger is playing with a ball,NEUTRAL,3.2,A_neutral_B,B_neutral_A,a baby tiger is playing with a ball,a baby is playing with a doll,SEMEVAL,SEMEVAL,TRIAL,A:toy,B:tiger,B:ball,
5748,A baby tiger is playing with a ball,A baby is not playing with a doll,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a baby tiger is playing with a ball,a baby is playing with a doll,SEMEVAL,SEMEVAL,TEST,A:tiger,A:ball,B:not,B:doll,
5749,A baby tiger is playing with a ball,A baby is playing with a doll,NEUTRAL,2.1,A_neutral_B,B_neutral_A,a baby is playing with a doll,a baby tiger is playing with a ball,SEMEVAL,SEMEVAL,TRAIN,A:tiger,A:ball,B:doll,
5774,A person is riding an electric bicycle,A man is riding a bicycle,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a man is riding a bicycle,a man is riding an electric bicycle,SEMEVAL,SEMEVAL,TEST,A:person,A:electric,B:man,
5775,A man is riding a bicycle,There is no man riding an electric bicycle,NEUTRAL,3.5,A_neutral_B,B_neutral_A,a man is riding a bicycle,a man is riding an electric bicycle,SEMEVAL,SEMEVAL,TEST,B:There,B:no,B:electric,
5793,A man is cutting a fish,A woman is slicing a fish,NEUTRAL,3,A_neutral_B,B_neutral_A,a man is cutting up a fish,a man is slicing open a fish,SEMEVAL,SEMEVAL,TEST,A:man,A:cutting,B:woman,B:slicing,
5804,A person is not frying,A person is peeling a potato,NEUTRAL,1.6,A_neutral_B,B_neutral_A,a person is peeling a potato,a person is frying,SEMEVAL,SEMEVAL,TEST,A:not,A:frying,B:peeling,B:potato,
5829,A girl is playing a guitar,A man is not playing a guitar,NEUTRAL,3.1,A_neutral_B,B_neutral_A,a man is playing a guitar,a girl is playing a guitar,SEMEVAL,SEMEVAL,TRAIN,A:girl,B:man,B:not,
5856,A woman is boiling noodles in water,Nobody is stirring noodles in the water,NEUTRAL,3.4,A_neutral_B,B_neutral_A,a woman is boiling noodles in water,someone is sitring noodles in water,SEMEVAL,SEMEVAL,TEST,A:woman,A:boiling,B:Nobody,B:stirring,
5858,Someone is stirring noodles in the water,A man is boiling noodles in water,NEUTRAL,4,A_neutral_B,B_neutral_A,someone is sitring noodles in water,a woman is boiling noodles in water,SEMEVAL,SEMEVAL,TEST,A:Someone,A:stirring,B:man,B:boiling,
5859,A woman is boiling noodles in water,Someone is stirring noodles in the water,NEUTRAL,4.2,A_neutral_B,B_neutral_A,a woman is boiling noodles in water,someone is sitring noodles in water,SEMEVAL,SEMEVAL,TRAIN,A:woman,A:boiling,B:Someone,B:stirring,
5890,A girl is tapping her fingernails,A boy is tapping his fingernails,NEUTRAL,3.685,A_neutral_B,B_neutral_A,a girl is tapping her finger nails,a girl is tapping her finger nails,SEMEVAL,SEMEVAL,TRAIN,A:girl,A:her,B:boy,B:his,
5896,A man and a woman are driving down the road in a car,A man and a woman are driving down the road in an open-air vehicle,NEUTRAL,4.3,A_neutral_B,B_neutral_A,a man and woman are driving down the road in an open air vehicle,a man and woman are driving down the road in an open air vehicle,SEMEVAL,SEMEVAL,TEST,A:car,B:open-air,B:vehicle,
5923,The man is training,The man is doing exercises,NEUTRAL,3.9,A_neutral_B,B_neutral_A,the man is exercising,the man is exercising,SEMEVAL,SEMEVAL,TRAIN,A:training,B:doing,B:exercises,
5933,A man is removing vegetables from a pot,A man is putting vegetables into a pot,NEUTRAL,3.3,A_neutral_B,B_neutral_A,a man puts vegetables into a pot,a man puts vegetables into a pot,SEMEVAL,SEMEVAL,TEST,A:removing,A:from,B:putting,B:into,
5955,A dog is leaving a ball in the dirt,A dog is chasing a ball through dirt,NEUTRAL,3.7,A_neutral_B,B_neutral_A,a dog chases a ball through dirt,a dog chases a ball through dirt,FLICKR,FLICKR,TRIAL,A:leaving,A:in,B:chasing,B:through,
5957,A dog is catching a ball,A dog is leaving a ball in the dirt,NEUTRAL,2.9,A_neutral_B,B_neutral_A,a dog is running towards a ball to catch it,a dog chases a ball through dirt,FLICKR,FLICKR,TEST,A:catching,B:leaving,B:in,B:dirt,
