sentence,tokens
A tennis player in mid game is holding a racquet,10
A racquet is being held by a tennis player in mid game,12
A tennis player in mid game is not holding a racquet,11
A dog is playing in the green field,8
A dog is playing on the green grass,8
A dog is sleeping on the green grass,8
A brown and white dog is playing on the grass,10
A brown and white dog is playing on the lawn,10
A brown and white cat is playing on the grass,10
A tan skinned kid is looking at the camera,9
A tan skinned child is looking at the camera,9
There is no tan skinned child looking at the camera,10
A little boy with a bib is watching the camera,10
A young boy with a bib is watching the camera,10
A little boy with a bib is not watching the camera,11
A young boy in the blue shirt is jumping into the water,12
The young boy in the blue shirt is jumping into the water,12
The young boy in the blue shirt is not jumping into the water,13
A young boy is diving into a still lake,9
A young boy is jumping into a still lake,9
A young girl is jumping into a still lake,9
Two men are carrying colorful baskets and blankets and walking near a building,13
Two people are carrying colorful baskets and blankets and walking near a building,13
Two people are carrying gray baskets and blankets and walking near a building,13
Two people are walking with laden baskets and colorful blankets,10
Two people are walking with laden baskets and blankets,9
Two people are sitting with laden baskets and blankets,9
A young girl is sitting in a swimsuit,8
A young girl is sitting in swimming gear,8
A young man is sitting in swimming gear,8
A young girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on her head,24
A little girl is wearing a blue patterned swim suit a black and yellow swim cap and has blue swimming goggles on the head,24
A young boy is wearing a blue patterned swim suit a black and yellow swim cap and has blue swim goggles on her head,24
A dog is running on a snowy road,8
A dog is running on a snowy path,8
A dog is running on a muddy path,8
A brown dog is running through a snowy path,9
A brown dog is running through a snowy trail,9
A white dog is running through a snowy trail,9
Two boys in white outfits and red protective gear are sparring on a mat,14
Two children in white outfits and red protective gear are sparring on a mat,14
Two children in white outfits and red protective gear are sitting on a mat,14
Two boys are doing martial arts on a blue mat,10
Two kids are doing martial arts on a blue mat,10
Two boys are doing martial arts on a green mat,10
A black and white dog is playing with a ruined volleyball in a brown field,15
A black and white dog is playing with a tattered volleyball in a brown field,15
A black and white dog is playing with a frisbee in a brown field,14
A black and white dog is playing with a broken volleyball,11
A black and white dog is playing with a broken ball,11
A black and white dog is playing with a new volleyball,11
A young boy in a helmet is riding a bike on the road,13
A bike is ridden on the road by a young boy in a helmet ,15
A young boy in a helmet is riding a bike on the lawn,13
The little boy is riding a bicycle in a race,10
A bicycle is being ridden by the little boy in a race,12
The little girl is riding a bicycle in a race,10
Mud is covering a topless woman,6
A topless woman is being covered in mud,8
There is no topless woman covered in mud,8
A topless woman is being smeared with a brown substance and a blurry crowd is in the background,18
A woman is being smeared with brown substance and a blurry crowd is in the background,16
A topless woman is being smeared with brown substance and a nobody is in the background,16
Two boys and a man are playing games at an arcade,11
Two kids and a man are playing games at an arcade,11
Two kids and a woman are playing games at an arcade,11
A family is purchasing something at the vending machine,9
A family is buying something at the vending machine,9
A family is not purchasing something at a vending machine,10
A female cheerleader is sitting on the knee of a male cheerleader,12
A female cheerleader is sitting on the knee of a man,11
A female cheerleader is jumping on the knee of a male cheerleader,12
Some cheerleaders are taking a break,6
Some cheerleaders are relaxing,4
Some cheerleaders are dancing,4
A group of people is holding drinks and pointing at the camera,12
Drinks are being held by people pointing at the camera,10
A group of people is holding food and pointing at the camera,12
Several young people are posing for a photo and holding beers,11
Several young people are posing for a photo and holding drinks,11
Several old people are posing for a photo and holding beers,11
A girl with red hair and red eyebrows is talking,10
A girl with red hair and red eyebrows is in midspeech,11
The girl has red hair and eyebrows several piercings in a ear and a drawing on the back,18
The girl has red hair and eyebrows several piercings in a ear and a tattoo on the back,18
The girl has red hair and eyebrows several piercings in a ear and no tattoo on the back,18
A woman in blue has a yellow ball in the mitt,11
A woman in blue has a yellow ball in the hand,11
A man in blue has a yellow ball in the mitt,11
The girl in blue is chasing the base runner with a number on the jersey,15
The girl in blue is chasing the player with a number on the jersey,14
The man in blue is chasing the base runner with a number on the jersey,15
The young man is rock climbing,6
The man is rock climbing,5
The young man is not rock climbing,7
A man in a purple hat is climbing a rocky wall with bare hands,14
A rocky wall is climbed by a man in a purple hat with bare hands,15
A man in a purple hat isn't climbing a rocky wall with bare hands,14
Two people are driving a jeep and a lady is sitting on the top of it,16
Two people are driving a jeep and a girl is sitting on the top of it,16
Two people are driving a boat and a lady is sitting on the top of it,16
A blond woman is sitting on the roof of a yellow vehicle and two people are inside,17
A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside,19
A blond woman is sitting on the roof of a yellow vehicle and two people are outside,17
A large brown dog is jumping over a red hurdle,10
A red hurdle is being jumped by a large brown dog,11
A large brown cat is jumping over a red hurdle,10
A brown and white dog is jumping over a red yellow and white barrier,14
A brown and white dog is jumping over a red yellow and white hurdle,14
A brown and white dog is passing under a red yellow and white hurdle,14
The yellow dog is drinking water from a bottle,9
The yellow dog is drinking water from a container,9
The yellow dog is drinking water from a pot,9
A yellow dog is drinking water from the faucet,9
 water from the faucet is being drunk by a yellow dog,12
A yellow dog is not drinking water from the faucet,10
Adults and children standing and playing in front of steps near a wooded area,14
Adults and children standing and playing in front of a stair near a wooded area,15
Adults and children are standing and playing in front of steps near a desert area,15
The adults and children are being grouped near an outdoor seating arrangement,12
The adults and children are being gathered near an outdoor seating arrangement,12
The adults and children are not gathered near an outdoor seating arrangement,12
A bride with a white dress is looking down,9
A bride with a white veil is looking down,9
A bride with a black veil is looking down,9
A woman is looking down and is wearing a wedding dress,11
A woman is looking down and is wearing a wedding veil,11
A boy is looking down and wearing a wedding veil,10
A young girl is standing in a group and is wearing a black shirt and pink beads,17
A girl is standing in a group and is wearing a black shirt and pink beads,16
A girl is standing alone and wears a black shirt and pink beads,13
A girl has black and orange patches on the cheeks,10
A girl has colored patches on the cheeks,8
There is no girl with black and orange patches on the cheeks,12
Two large dogs are frolicking in a grassy field,9
Two large dogs are frolicking in a field,8
Two large dogs are frolicking in a parking lot,9
Two dogs are running through high grass,7
Two animals are running through high grass,7
Two dogs are running through water,6
A black dog is running across a rocky landscape,9
A dog is running across a rocky landscape,8
A white dog is running across a rocky landscape,9
A black dog is walking along rocky terrain,8
A black dog is moving along rocky terrain,8
A black cat is walking along rocky terrain,8
Three small dogs are sniffing at something,7
Three dogs are sniffing at something,6
Three small cats is sniffing at something,7
Three dogs are resting on a sidewalk,7
Three dogs are resting on the pavement,7
Three dogs are resting on a couch,7
A young man is getting a motocross bike up a dirt hill,12
A young man is pushing a motocross bike up a dirt hill,12
A young man is pushing a motocross bike down a dirt hill,12
Some young dirt bikers are getting a dirt bike up a sandy hill,13
Some young bikers are getting a dirt bike up a sandy hill,12
Some old dirt bikers are getting a dirt bike up a sandy hill,13
A middle aged man and woman are riding bikes down a road beside the water,15
A middle aged man and woman are riding bikes down a road near the water,15
A middle aged man and woman are riding horses down a road beside the water,15
An older man and a woman are riding bikes on the boardwalk near the ocean,15
An older man and a woman are riding bikes on the boardwalk near the water,15
A young man and a woman are riding bikes on the boardwalk near the ocean,15
Some people and cars are on a crowded street,9
Some people and vehicles are on a crowded street,9
Some people and vehicles are on a almost empty street,10
Pedestrians and cars are moving through a traffic jam in a big city,13
Pedestrians and cars are moving through a traffic jam in the big city,13
Pedestrians and cars are moving through a traffic jam in a small city,13
Two brown and white dogs are fighting on a grassy area in front of a tree,16
Two brown and white dogs are fighting on a grassy area in front of a plant,16
Two brown and white dogs are fighting on a grassy area behind a tree,14
Two dogs are playing outside,5
Two animals are playing outside,5
Two dogs are playing inside,5
A soccer player is sitting on the field and is drinking water,12
Water is being drunk by a soccer player sitting on the field,12
A soccer player is sitting on the field and is drinking beer,12
A man is sitting on the grass and drinking from a water bottle,13
A man is sitting on the lawn and drinking from a water bottle,13
A woman is sitting on the grass and is drinking from a water bottle,14
A dog is running on the sea shore,8
A dog is running on the beach,7
There is no dog running on the beach,8
The dog is running through the wet sand,8
The dog is moving through the wet sand,8
The dog is running through the dry sand,8
Sunglasses are being worn by a boy,7
A boy is wearing sunglasses,5
A girl is wearing sunglasses,5
A chubby faced boy is wearing sunglasses,7
A chubby faced boy is wearing dark glasses,8
A chubby faced boy is not wearing sunglasses,8
Children are being dressed in costumes and playing a game,10
Kids are being dressed in costumes and playing a game,10
Kids are not dressed in costumes and playing a game,10
A young girl with painted face is standing next to some other children,13
A girl with painted face is standing next to some other children,12
A young boy with painted face is standing next to some other children,13
Dogs are racing on a track,6
Dogs are running on a track,6
There is no dog racing on a track,8
A horse is racing,4
A horse is not racing,5
Two bmx bikers are jumping dirt ramps in front of the water,12
Two bmx bikers are jumping dirt ramps in front of a body of water,14
There is no bmx biker jumping dirt ramps in front of a body of water,15
Some bikers are doing acrobatics on a track near water and a skyline,13
Some bikers are getting airborne on a track near water and a skyline,13
Some bikers are not getting airborne on a track near water and a skyline,14
A man is doing a trick on a skateboard,9
A person is doing a trick on a skateboard,9
A man is doing a trick on a bike,9
A man is doing a skateboard trick on an outdoor park porch,12
A man is doing a skateboard trick on a park porch,11
A woman is doing a skateboard trick on an outdoor park porch,12
A man in a motocross uniform is wearing a helmet and rides a red motorcycle,15
A person in a motocross uniform is wearing a helmet and rides a red motorcycle,15
A person in a motocross uniform is not wearing a helmet and riding a red motorcycle,16
A man in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,19
A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,19
A racer in full gear wears a helmet with sponsor logos and is riding a blue sport motorcycle,18
People are sitting at square tables in a red room,10
People are sitting at tables in a red room,9
People are sitting at round tables in a red room,10
Several people are sitting at little tables in a darkened room,11
Several people are sitting at small tables in a darkened room,11
Several people are sitting at small tables in a light room,11
A boy in a striped shirt is playing in front of a water fountain,14
A boy in a striped shirt is jumping in front of a water fountain,14
A boy in a striped shirt is jumping behind a water fountain,12
A boy is jumping off the side of a water fountain made of stone in front of a building,19
A boy is jumping off the side of a stone water fountain in front of a building,17
A boy is jumping on the side of a stone water fountain in front of a building,17
Two dogs are leaping through snowy grass and rocks,9
Two dogs are jumping through snowy grass and rocks,9
There is no dog leaping through snowy grass and rocks,10
Two large dogs a light colored one and a dark one are quickly moving through snowy terrain,17
Two large dogs a light colored one and a dark one are running through snowy terrain,16
Two large dogs a light colored one and a dark one are sleeping on a snowy terrain,17
A girl in blue is sliding down a green slide,10
A girl in blue is sliding down a slide,9
A boy in blue are sliding down a green slide,10
The young girl in blue is having fun on a slide,11
The young girl in blue is enjoying a slide,9
The young girl in blue is having fun on a swing,11
A black man is walking next to a shop in a big city,13
A black man is walking next to a building in a big city,13
A white man is walking next to a building in a big city,13
A man is looking into the distance and people is walking between buildings behind,14
A person is looking into the distance and people is walking between buildings behind,14
A woman is looking into the distance and people are walking between buildings behind,14
A bald man in a band is playing guitar in the spotlight,12
A bald man in a band is playing an instrument in the spotlight,13
A man is playing guitar next to a drummer,9
A guitar is being played by a man next to a drummer,12
There is no man playing guitar next to a drummer,10
A black dog is jumping off a dock into a pond,11
A black dog is jumping off a dock into water,10
A black dog is jumping on a dock into a pond,11
A black dog is jumping from a dock into the water,11
A black animal is jumping from a dock into the water,11
A white dog is jumping from a dock into the water,11
A bride in a white dress is running,8
A girl in a white dress is running,8
A girl in a white dress is standing,8
A little girl is smiling and running out of the house,11
A little girl is smiling and running outside,8
A little girl is smiling and running inside,8
A skier in black is catching a tiny bit of air,11
A skier dressed in black is catching a tiny bit of air,12
A skier in white is catching a tiny bit of air,11
A man is skiing down a snowy mountain,8
A man is skiing down a snowy hill,8
There is no man skiing down a snowy hill,9
A boy is playing slip and slide in the grass,10
A child is playing slip and slide in the grass,10
A child is not playing slip and slide in the grass,11
A child is splashing in a pool for children and other kids are playing in the background,17
A child is splashing in a pool for children and other children are playing in the background,17
A child is splashing in a pool for children and no other children are playing in the background,18
Two men are standing together and one is looking in the distance,12
Two men are standing together and one is looking through binoculars,11
Two women are standing together and one is looking through binoculars,11
Two men are looking out and binoculars are being held by one of them,14
Two men are looking out and one is holding binoculars,10
Two men are looking out and one is holding a spyglass,11
A motorcyclist on a bike is leaning into a sharp corner,11
There is no motorcyclist on a bike leaning into a sharp corner,12
A man on a motorcycle is turning around a corner,10
A man on a motorcycle is going around a corner,10
A woman on a motorcycle is going around a corner,10
A man with a backwards hat is sitting on the ground,11
A person with a backwards hat is sitting on the ground,11
A man with no hat is sitting on the ground,10
A young man in a white shirt and gold and black hat is sitting with crossed legs,17
A young person in a white shirt and gold and black hat is sitting with crossed legs,17
An old man in a white shirt and gold and black hat is sitting with crossed legs,17
A young oriental girl is standing above the crowd and is playing with a pinwheel,15
A young oriental girl is standing above people and is playing with a pinwheel,14
A young occidental girl is standing above the crowd and is playing with a pinwheel,15
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of an old man with grey hair,23
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a man with grey hair,22
A girl in blue sweater is holding a multicolor toy and is sitting on the shoulders of a woman with grey hair,22
A young man on a bmx bicycle is jumping off a masonry pyramid,13
A young man on a bmx bicycle is jumping off a pyramid,12
A young man on a bmx bicycle is jumping on a masonry pyramid,13
A man on a bike is jumping on a pyramid-shaped ramp,11
A bicyclist is jumping on a pyramid-shaped ramp,8
There is no bicyclist jumping on a pyramid-shaped ramp,9
A shirtless man is playing football on a lawn,9
A shirtless man is playing football on a field,9
A shirtless man is playing football in a gym,9
A man with no shirt is holding a football,9
A football is being held by a man with no shirt,11
A man with a shirt is holding a football,9
The man is going into the lake,7
The man is going into the water,7
The man is not going into the water,8
The person is going into the sea,7
The person is going into the water,7
The person is not going into the water,8
Two people are sitting on a park bench on a sunny day,12
Two people are sitting on a park bench on a hot day,12
Two people are sitting on a park bench on a rainy day,12
Two women dressed in white and black are relaxing on a bench,12
Two women dressed in white and black are sitting on a bench,12
Two men dressed in white and black are sitting on a bench,12
Five people are standing in the grass with three dogs,10
Five people are standing in the grass with some dogs,10
Five people are standing in the grass with no dogs,10
Five people are standing with three dogs in the green field beside the road,14
Five people are standing with three dogs in the park beside the road,13
Five people are running with three dogs in the green field beside the road,14
A girl is carrying a lot of colorful scarves on the beach,12
A young woman is carrying a lot of colorful scarves on the beach,13
An old woman is carrying a lot of colorful scarves on the beach,13
A rainbow afghan is being held by a girl in gold and purple,13
A girl in gold and purple is holding a rainbow afghan,11
A man in gold and purple is holding a rainbow afghan,11
A light brown dog is running in the water,9
A light brown dog is sprinting in the water,9
A light brown dog is running in the grass,9
A tan dog is splashing in the water on the bank of a pond,14
A tan dog is playing in the water on the bank of a pond,14
A tan dog is splashing in the water on the bank of a river,14
The child is splashing water in a small blue pool,10
The child is splashing water in a pool,8
The child is splashing water in a big red pool,10
A baby is splashing inside a blue paddling pool,9
A toddler is making a splash inside a blue paddling pool,11
A toddler is making a splash outside a blue paddling pool,11
A grey silky dog is sleeping in the grass and a brown dog is looking on,16
A grey silky dog is lying in the grass and a brown dog is looking on,16
A grey silky dog is running in the grass and a brown dog looks on,15
The brown dog is spotting a black dog lying in the dry field,13
The brown dog is spotting a black dog lying in the dry grass,13
The brown dog is spotting a black dog and is playing in the dry grass,15
A man is standing on a dirt hill next to a black jeep,13
A man is standing on a dirt hill next to a black car,13
A man is standing on a black jeep on a dirt hill,12
A man in a hat is standing outside of a green jeep,12
A man in a hat is standing outside of a green vehicle,12
A man with no hat is standing outside of a green jeep,12
A black dog and a small white and black dog are looking up at a kitchen countertop,17
Two dogs are looking up at a kitchen countertop,9
A black cat and a small white and black cat are looking up at a kitchen countertop,17
A large dog and a small dog are standing next to the kitchen counter and are sniffing,17
A large dog and a small dog are standing next to the kitchen counter and are investigating,17
A large dog and a small dog is standing on the kitchen counter and investigate,15
A dog is playing on the ground,7
A dog is rolling on the ground,7
A dog is sleeping on the ground,7
A tan dog which is dirty is rolling in the dirt and looking right at the camera,17
A dirty tan dog is rolling in the dirt and looking right at the camera,15
A dirty tan dog is rolling in the water and looking right at the camera,15
An Arabic man is wearing a white hat,8
A white hat is being worn by an Arabic man,10
An Arabic man isn't wearing a white hat,8
A man with a white hat and brown shirt is behind a woman in red and is looking to the left,21
A man with a white hat and brown shirt is behind a woman in red and is looking to the side,21
A man with a white hat and brown shirt is behind a woman in red and is looking to the right,21
Little boys are playing in a water fountain in front of lots of people,14
Little kids are playing in a water fountain in front of lots of people,14
Little kids are playing in a water fountain in front of few people,13
Children are playing in a fountain that is spraying water from the ground,13
Children are playing in ground fountains,6
Animals are playing in fountains that spray water from the ground,11
A man on a yellow dirt bike is taking a jump,11
A person on a yellow dirt bike is taking a jump,11
A person on a yellow clean bike is taking a jump,11
A person on a yellow bike is airborne,8
A cyclist on a yellow bike is airborne,8
There is no cyclist on a yellow bike airborne,9
The bicycle is being ridden by a man wearing a beret on a recreation trail,15
A man is wearing a beret and is riding the bicycle on a recreation trail,15
A woman is wearing a beret and is riding the bicycle on a recreation trail,15
An old man with a grey beard is riding a bike,11
An old man with a beard that is grey is riding a bike,13
An old man with a grey beard is not riding a bike,12
Five adults are sitting on stone steps,7
Five adults are sitting on steps made of stone,9
Five adults are sitting on a chair,7
People are sitting against a wall,6
People are sitting near a wall,6
People is standing against a wall,6
A man is rock climbing and a city and a bay are in the background,15
A person is rock climbing and a city and a bay are in the background,15
A man is not rock climbing and a city and a bay are in the background,16
A man is rock climbing pausing and calculating the route,10
A man is rock climbing stopping and calculating the route,10
A woman is rock climbing pausing and calculating the route,10
A little girl wearing a pink shirt is playing t-ball and taking a swing,14
A little girl in a pink shirt is playing t-ball and taking a swing,14
A little boy in a pink shirt is playing t-ball and taking a swing,14
A little girl is hitting a baseball off a tee,10
A little girl is hitting a ball off a tee,10
A little girl is missing a baseball on a tee,10
A girl is hitting a little tee with a baseball,10
People are grouping at a stand at the fair,9
A group of people is gathering at a stand at the fair,12
No group of people is gathering at a stand at the fair,12
The people are standing at a carnival,7
The people are standing at a parade,7
The people are running at a carnival,7
A group of rollerbladers is lining up on the street,10
A group of rollerbladers is lining up on the road,10
A group of rollerbladers is scattering on the street,9
Rollerbladers are rolling in formation down a hill,8
Rollerbladers are running in formation down a hill,8
Rollerbladers are not rolling in formation down a hill,9
A woman is marching with a pair of dogs,9
A woman is walking with a pair of dogs,9
A woman is standing with a pair of dogs,9
A woman is showing a dog with very long hair at a dog show,14
A dog with very long hair is being showed by a woman at a dog show,16
A woman is showing a dog with very short hair at a dog show,14
A skateboarder is jumping off a ramp,7
A skateboarder is making a jump off a ramp,9
No skateboarder is making a jump off a ramp,9
A man dressed in black is wearing inline skates and performing acrobatics on a rail,15
A man dressed in black is wearing inline skates and performing a trick on a rail,16
A woman dressed in black is wearing inline skates and performing a trick on a rail,16
Three children are running down hill,6
Three kids are running down hill,6
Three children are running up hill,6
Three children are running down a grassy hillside,8
Three children are running down a hillside covered by grass,10
Three children are running up a grassy hillside,8
A black and orange bird is standing on the lawn,10
A black and orange bird is standing in the grass,10
A black and orange bird is not standing in the grass,11
The black bird with a yellow beak is standing in the green grass,13
A black bird with a yellow beak is standing in the green grass,13
A white bird with a yellow beak is standing in the green grass,13
A shirtless man is posing with a girl who is hiking in a park,14
A shirtless person is posing with a girl who is hiking in a park,14
A shirtless woman is posing with a girl who is hiking in a park,14
A man without a shirt is posing with the arms spread next to a woman,15
A man without a shirt is posing with the arms spread near a woman,14
A man with a shirt is posing with the arms spread next to a woman,15
Two white dogs are quickly running together,7
Two white dogs are running together,6
Two white dogs are not running together,7
Two white puppies are playing near a pool,8
Two white puppies are playing near water,7
Two black puppies are playing near a pool,8
A group of people are standing around a sound mixing table,11
A group of people are standing around a sound mixing console,11
A group of people are not standing around a sound mixing table,12
A group of people are looking at sound equipment,9
Some people is looking at sound equipment,7
A group of people are not looking at sound equipment,10
A young couple is sleeping in bed,7
A young couple is lying in bed,7
A young couple is not lying in bed,8
A young couple is lying on a bed together,9
A couple is lying on a bed together,8
A young couple is lying on a couch together,9
Three men are walking across a rope and wood bridge over a river,13
Three people are walking across a rope and wood bridge over a river,13
Three people are walking across a rope and steel bridge over a river,13
People are crossing a rope bridge over a rocky stream,10
People are walking across a rope bridge over a rocky stream,11
People are not walking across a rope bridge over a rocky stream,12
Four people are walking on a bridge over a river,10
Four people are walking on a bridge over a body of water,12
Four people are sitting on a bridge over a body of water,12
Several people are crossing in line a bridge,8
Several people are walking in line across a bridge,9
Several people are not walking in line across a bridge,10
A young boy is jumping into water,7
A young kid is jumping into water,7
A young boy is jumping out of the water,9
A boy is wearing a yellow jacket and is jumping down from a rock,14
A child is wearing a yellow jacket and is jumping down from a rock,14
A child is wearing a yellow jacket and is jumping on a rock,13
The young child is riding a three wheeled scooter down the sidewalk,12
A young child is riding a three wheeled scooter down the sidewalk,12
No young child is riding a three wheeled scooter down the sidewalk,12
A toddler is riding a plastic scooter toy,8
A toddler is playing with a plastic scooter toy,9
A toddler is not riding a plastic scooter toy,9
Three men are sitting on a mountainside and looking at the view with a pair of binoculars,17
Three hikers are sitting on a mountainside and looking at the view with a pair of binoculars,17
Three hikers are standing on a mountainside and looking at the view with a pair of binoculars,17
Three men are lying on a hill and looking at the mountains and sky,14
Three men are sitting on a hill and looking at the mountains and sky,14
Three men are sitting on a hill and looking at the sea,12
A girl is skipping rope on a sidewalk,8
A girl is skipping rope on near a street,9
A girl is skipping rope in a park,8
A young girl is jumping rope on a sidewalk near a parking garage,13
A girl is jumping rope on a sidewalk near a parking garage,12
A boy is jumping rope on a sidewalk near a parking garage,12
People are clustered around a bonfire at night,8
People are sitting around a bonfire at night,8
People are clustered around a bonfire at morning,8
Several people are sitting around a fire at night,9
Several people are gathered around a fire at night,9
No people is sitting around a fire at night,9
A brown dog is standing in a lake,8
A white dog is standing in a lake,8
A dog is swimming in a body of water,9
An animal is swimming in a body of water,9
A dog is not swimming in a body of water,10
Two dogs are running through the park,7
Two animals are running through the park,7
Two dogs are running through the beach,7
Two dogs are running quickly through the park,8
Two dogs are running quickly through a park,8
Two dogs are walking slowly through a park,8
A boy is speeding down a steep slide,8
A kid is speeding down a steep slide,8
A girl is speeding down a steep slide,8
A boy is wearing all black and is sliding down a blow up yellow slide,15
A boy is wearing all black and is sliding down a blow up slide,14
A girl is wearing all black and is sliding down a blow up yellow slide,15
A man is hanging on the ledge of a balcony,10
A man is leaning on the ledge of a balcony,10
A woman is leaning on the ledge of a balcony,10
A man with a white moustache is standing on a balcony and is looking at the road below,18
A man with moustaches is standing on a balcony and is looking at the road below,16
A man with a white moustache is sitting on a balcony and is looking at the road below,18
A small white dog is running in a lawn,9
A small white dog is running across a lawn,9
A big white dog is running across a lawn,9
A brown and white dog with a brown and black bandanna is quickly running ,15
A brown and white dog with a brown and black bandanna is running very fast,15
A brown and white cat with a brown and black bandanna is running very fast,15
The dog is on a leash and is walking out of the water,13
The dog is on a leash and is walking near the water,12
The dog is on a leash and is walking in the water,12
A black dog on a leash is walking in the water,11
A dog on a leash is walking in the water,10
A white dog on a leash is walking in the water,11
A red sled is being held by a little girl in a green coat and a boy walking in the snow,21
A little girl in a green coat and a boy holding a red sled are walking in the snow,19
A little girl in a green coat and a boy holding a red sled are lying in the snow,19
A child is wearing a coat and is carrying a red sled behind a child in a green and black coat,21
A child is wearing a coat and is carrying a red sled near a child in a green and black coat,21
A child is not wearing a coat and is carrying a red sled behind a child in a green and black coat,22
A boy is sitting on the ground,7
A toddler is sitting down,5
A toddler is standing up,5
A boy is sitting in a seat,7
A toddler is sitting in a seat,7
A girl is sitting in a seat,7
A dog is catching a black frisbee,7
A dog is biting a black frisbee,7
A dog is catching a white frisbee,7
A large wet yellow dog is retrieving a toy,9
A large wet yellow dog is holding a toy,9
A large wet yellow cat is retrieving a toy,9
A woman is wearing a long black coat and a brown hat and is walking past a park with a lot of blooming trees,24
A woman is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,24
A man is wearing a long black jacket and a brown hat and is walking past a park with a lot of blooming trees,24
A woman is walking in a city street,8
A woman is walking in a road,7
A man is walking in a city street,8
Two people are riding motorbikes,5
Motorbikes are being ridden by two people,7
Two people are not riding motorbikes,6
Dirt bikers are riding on a trail,7
Bikers are riding on a trail,6
Dirt bikers are not riding on a trail,8
A man is leaning against a pole and is surrounded by people,12
A man is leaning against a pole and is surrounded,10
A woman is leaning against a pole and is surrounded by people,12
A middle eastern man is standing with the back against a lamp post near to other people,17
A middle eastern man is standing against a lamp post near to other people,14
A middle eastern woman is standing with her back against a lamp post near to other people,17
A couple is looking at a street guide,8
A couple is looking at a map,7
A couple is not looking at a map,8
A man and a woman are standing in front of an art gallery and are looking at a map,19
A man and a woman are standing in front of an art gallery and are looking at a signboard ,20
A man and a woman are sitting in front of an art gallery and are looking at a map,19
The dog is running across the dirty path,8
The dog is running across the gravel,7
The cat is running across the gravel,7
A little dog is running on the beach,8
A little dog is running on the sand,8
No little dog is running on the sand,8
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is diving into the water,26
One boy in orange shorts is standing on a rock cliff over the water and the other boy in black shorts is jumping of it into the water,28
One girl in orange shorts is standing on a rock cliff over the water and the other girl in black shorts is jumping off into the water,27
Two males are standing on a cliff edge and one is jumping into the sea,15
Two males are standing on a cliff edge and one is jumping into the water,15
Two males are standing on a cliff edge and no one is jumping into the water,16
A boy is playing a game with wooden blocks,9
A boy is playing a game with blocks made of wood,11
A boy is playing a game with steel blocks,9
A boy in blue shirt is looking at his hand near a stack of blocks on table,17
The boy in blue shirt is looking at his hand near the stack of blocks on table,17
A woman in blue shirt is looking at her hand near a stack of blocks on table,17
A woman in a bikini is pulling a dog on a leash at the seashore,15
A woman in a bikini is pulling a dog on a leash at the beach,15
A woman in a bikini is pulling a cat on a leash at the beach,15
A woman is standing at the beach with a dog on a leash,13
A woman is standing at the beach with an animal on a leash,13
A woman is running on the beach with a dog on a leash,13
A small group of people are standing and two are sitting on the couch,14
A small group of people are standing and two are sitting on the sofa,14
A big group of people are standing and two are sitting on the couch,14
A group of five young adults are lounging in the room,11
A group of five young adults are lounging indoors,9
A group of five old adults are lounging indoors,9
The dog has its head inside a red and green gift bag,12
A dog has its head inside a red and green gift bag,12
A dog has its head outside a red and green gift bag,12
A red and brown dog is digging its nose inside the holiday gift bag,14
The red and brown dog is digging its nose inside a holiday gift bag,14
The red and brown dog is not digging its nose inside a holiday gift bag,15
The man is biking in the snow and wearing a red jacket,12
The rider is biking in the snow and wearing a red jacket,12
The rider is biking in the rain and wearing a red jacket,12
A cyclist is biking in a snowy forest in the dark,11
A cyclist is biking in a snowy forest at night,10
A cyclist is biking in a snowy forest at day,10
A girl with a bikini is playing in the dunes,10
A girl with a bikini is playing in the sand,10
No girl with a bikini is playing in the dunes,10
A young girl in a bikini is jumping on the beach,11
A young girl in swimming suite is jumping on the beach,11
A young girl in a bikini is sitting on the beach,11
A boy is wearing a hat and is walking in the wet sand,13
A little kid is wearing a hat and is walking in the wet sand,14
A little kid is wearing a hat and is walking in the dry sand,14
A wet kid is wearing sand and is walking on a little hat,13
A white hat is being worn by a boy which is running on the beach,15
A boy is wearing a white hat and is running on the beach,13
A boy is wearing a white hat and is walking on the beach,13
A cardboard box is being touched by a man in a black hat,13
A man in a black hat is touching a cardboard box,11
A man in a white hat is touching a cardboard box,11
A man in a black hat is reaching for a box,11
A person in a black hat is reaching for a box,11
A man in a black hat is not reaching for a box,12
A blond kid is going down a slide and throwing up his arms,13
A blond child is going down a slide and throwing up his arms,13
A child with dark hair is going down a slide and throwing up his arms,15
A young girl with a heart tank top is raising her hands as she is playing on a slide,19
A young girl with a heart tank top is raising her hands as she is sliding,16
A young boy with a heart tank top is raising his hands as he is sliding,16
Two dogs are playing on a beach,7
Two dogs are playing in a forest,7
A brown dog is running after a black dog on a rocky shore,13
A brown dog is running after a dark dog on a rocky shore,13
A brown dog is running after a white dog on a rocky shore,13
Two dogs are playing on a rocky beach,8
Two dogs are playing on a beach made of rocks,10
Two dogs are playing on a sandy beach,8
